"GEOID","org_name","terminated_loss","terminated_loss_noself","terminated_econ_loss","terminated_job_loss","terminated_econ_loss_noself","terminated_job_loss_noself","IDC_loss","IDC_econ_loss","IDC_job_loss","overlap_loss","overlap_econ_loss","overlap_job_loss","overlap_loss_noself","overlap_econ_loss_noself","overlap_job_loss_noself","combined_loss","combined_econ_loss","combined_job_loss"
"0101","University of Alabama at Birmingham",476082.770952452,476082.770952452,1218771.89363828,5.25473927185032,1218771.89363828,5.25473927185032,1167068.80866406,2987696.15017999,12.8814623759008,23678.1870868556,60616.1589423502,0.261346780776374,23678.1870868556,60616.1589423502,0.261346780776374,1619473.39252965,4145851.88487591,17.8748548669747
"0101","Tulane University of Louisiana",11006.8979981789,11006.8979981789,28177.658875338,0.121488074555964,28177.658875338,0.121488074555964,44244.0602157316,113264.794152273,0.488341555180822,338.341731456188,866.154832527842,0.00373442958255306,338.341731456188,866.154832527842,0.00373442958255306,54912.6164824543,140576.298195083,0.606095200154233
"0101","University of Alabama",5974.72876796497,5974.72876796497,15295.3056459903,0.0659457636596873,15295.3056459903,0.0659457636596873,34979.3882898281,89547.2340219601,0.386083211925808,0,0,0,0,0,0,40954.1170577931,104842.53966795,0.452028975585495
"0101","Auburn University at Auburn",13771.6132020041,13771.6132020041,35255.3297971306,0.152003477430043,35255.3297971306,0.152003477430043,21977.9049519711,56263.436677046,0.242580003542389,826.424006710828,2115.64545717972,0.00912161277034955,826.424006710828,2115.64545717972,0.00912161277034955,34923.0941472644,89403.1210169968,0.385461868202083
"0101","Florida State University",18672.6000602298,18672.6000602298,47801.8561541882,0.206097869594705,47801.8561541882,0.206097869594705,16770.4308423338,42932.3029563745,0.185102773991926,2665.04117883493,6822.50541781742,0.02941525591339,2665.04117883493,6822.50541781742,0.02941525591339,32777.9897237286,83911.6536927453,0.36178538767324
"0102","University of Alabama at Birmingham",1587349.77054197,1587349.77054197,4063615.41258744,17.5202920297709,4063615.41258744,17.5202920297709,3891227.57358636,9961542.58838108,42.9492256267204,78947.5425963772,202105.709046726,0.871379469723957,78947.5425963772,202105.709046726,0.871379469723957,5399629.80153195,13823052.2919218,59.5981381867673
"0102","Alabama State University",242472.822666989,242472.822666989,620730.426027493,2.67628139761412,620730.426027493,2.67628139761412,13044.808777006,33394.7104691353,0.143981410705486,0,0,0,0,0,0,255517.631443995,654125.136496628,2.8202628083196
"0102","Emory University",47160.6754567816,47160.6754567816,120731.329169361,0.520533546958557,120731.329169361,0.520533546958557,123104.049064809,315146.365605912,1.35875465489015,2984.57400279333,7640.50944715091,0.0329420831399672,2984.57400279333,7640.50944715091,0.0329420831399672,167280.150518798,428237.185328122,1.84634611870874
"0102","Auburn University at Auburn",64329.2418132913,64329.2418132913,164682.859042026,0.710030721356262,164682.859042026,0.710030721356262,102662.04412415,262814.832957825,1.13312706928746,3860.34874696258,9882.4927922242,0.0426084021547765,3860.34874696258,9882.4927922242,0.0426084021547765,163130.937190479,417615.199207626,1.80054938848894
"0102","Florida State University",86788.5639455374,86788.5639455374,222178.723700576,0.957924342440983,222178.723700576,0.957924342440983,77947.4526771495,199545.478853503,0.860341028312953,12386.871459826,31710.3909371546,0.136719461166576,12386.871459826,31710.3909371546,0.136719461166576,152349.145162861,390013.811616924,1.68154590958736
"0103","University of Alabama at Birmingham",1112586.32985901,1112586.32985901,2848221.00443908,12.2801147983947,2848221.00443908,12.2801147983947,2727392.96977029,6982126.00261194,30.1034606216653,55334.9729837436,141657.530838384,0.610756938468363,55334.9729837436,141657.530838384,0.610756938468363,3784644.32664556,9688689.47621263,41.7728184815916
"0103","Auburn University at Auburn",718003.775793423,718003.775793423,1838089.66603116,7.92493000838993,1838089.66603116,7.92493000838993,1145851.14380411,2933378.92813852,12.6472734835502,43086.8590716992,110302.35922355,0.475569006649372,43086.8590716992,110302.35922355,0.475569006649372,1820768.06052583,4661166.23494613,20.0966344852908
"0103","Emory University",56896.8079334866,56896.8079334866,145655.828309726,0.627995611966552,145655.828309726,0.627995611966552,148518.386720175,380207.070003648,1.63926410890492,3600.72734657557,9217.86200723346,0.0397428442063193,3600.72734657557,9217.86200723346,0.0397428442063193,201814.467307086,516645.03630614,2.22751687666516
"0103","University of Alabama",13962.7013566452,13962.7013566452,35744.5154730117,0.154112603178428,35744.5154730117,0.154112603178428,81745.4266623316,209268.292255569,0.902260972219924,0,0,0,0,0,0,95708.1280189768,245012.807728581,1.05637357539835
"0103","Florida State University",15550.4932977476,15550.4932977476,39809.2628422339,0.171637775643179,39809.2628422339,0.171637775643179,13966.3716661236,35753.9114652765,0.154153114031861,2219.43943832234,5681.76496210518,0.024496949458418,2219.43943832234,5681.76496210518,0.024496949458418,27297.4255255489,69881.4093454053,0.301293940216621
"0104","University of Alabama at Birmingham",1636409.31093366,1636409.31093366,4189207.83599017,18.0617842014775,4189207.83599017,18.0617842014775,4011492.07978555,10269419.724251,44.2766389722407,81387.5405267069,208352.10374837,0.898310822274452,81387.5405267069,208352.10374837,0.898310822274452,5566513.8501925,14250275.4564928,61.4401123514437
"0104","Auburn University at Auburn",59729.2096889404,59729.2096889404,152906.776803687,0.659258101697623,152906.776803687,0.659258101697623,95320.9238558084,244021.565070869,1.05209982922108,3584.30432693404,9175.81907695113,0.0395615759657146,3584.30432693404,9175.81907695113,0.0395615759657146,151465.829217815,387752.522797606,1.67179635495298
