"GEOID","org_name","budg_NIA_cuts","budg_NIAID_cuts","budg_NCI_cuts","budg_NIH_cuts","budg_NIA_cuts_econ_loss","budg_NIA_cuts_job_loss","budg_NIAID_cuts_econ_loss","budg_NIAID_cuts_job_loss","budg_NCI_cuts_econ_loss","budg_NCI_cuts_job_loss","budg_NIH_cuts_econ_loss","budg_NIH_cuts_job_loss","state","rep_name","pol_party"
"0101","University of Alabama at Birmingham",218709.022082886,400475.177833216,263841.335807681,2581565.36374894,559895.096532189,2.41398966223397,1025216.45525303,4.42022432391618,675433.819667665,2.91213527015986,6608807.33119729,28.4938958673112,"Alabama","Barry Moore","Republican"
"0101","University of South Alabama",22109.7602084062,96482.2693781307,89657.230946096,656124.877912591,56600.9861335198,0.244035349201723,246994.609608015,1.06491812111626,229522.511222006,0.989587107962909,1679679.68745623,7.24194483305432,"Alabama","Barry Moore","Republican"
"0101","Tuskegee University",0,0,85772.6393250093,475381.586719172,0,0,0,0,219577.956672024,0.94671112632302,1216976.86200108,5.24699998668349,"Alabama","Barry Moore","Republican"
"0101","Clarity, LLC",0,0,0,278623.328322588,0,0,0,0,0,0,713275.720505824,3.07529075765813,"Alabama","Barry Moore","Republican"
"0101","Emory University",20928.5715411942,54407.1868728195,15484.6390278576,204871.411805436,53577.1431454572,0.230998039608171,139282.398394418,0.600516546649107,39640.6759113155,0.170910912502305,524470.814221917,2.26125774545402,"Alabama","Barry Moore","Republican"
"0102","University of Alabama at Birmingham",407095.972837595,745428.014650152,491103.404205671,4805219.52496742,1042165.69046424,4.49330101066706,1908295.71750439,8.22762364427336,1257224.71476652,5.42052874431086,12301361.9839166,53.0373651144584,"Alabama","Shomari Figures","Democrat"
"0102","University of South Alabama",71069.6562291524,310132.79439843,288194.377584165,2109049.08407434,181938.31994663,0.784427701252661,793939.953659981,3.42307488034864,737777.606615463,3.18093072510961,5399165.65523031,23.278521560807,"Alabama","Shomari Figures","Democrat"
"0102","Tuskegee University",0,0,275707.738719746,1528067.49722031,0,0,0,0,705811.811122549,3.04311008630974,3911852.79288401,16.8659669654031,"Alabama","Shomari Figures","Democrat"
"0102","Alabama State University",70996.3648786308,0,0,243166.980266926,181750.694089295,0.783618751714113,0,0,0,0,622507.46948333,2.68394312667426,"Alabama","Shomari Figures","Democrat"
"0102","Emory University",19966.3383668864,51905.7070165979,14772.7016012894,195452.036550014,51113.8262192293,0.220377440085956,132878.609962491,0.572906590481332,37818.116099301,0.163052939513694,500357.213568035,2.15729187209982,"Alabama","Shomari Figures","Democrat"
"0103","University of Alabama at Birmingham",751632.724829689,1376304.67309829,906738.004071348,8872011.72681937,1924179.775564,8.29610781601861,3523339.96313163,15.1908925443618,2321249.29042265,10.0080744147508,22712350.0206576,97.924376359947,"Alabama","Mike Rogers","Republican"
"0103","Auburn University",79534.896050022,123086.779689269,362435.620875875,2688521.81179914,203609.333888056,0.877862353473667,315102.156004528,1.35856404503952,927835.189442241,4.00036465659903,6882615.83820579,29.6744222006263,"Alabama","Mike Rogers","Republican"
"0103","Emory University",31793.7878010862,82653.0635826549,23523.5991361898,311231.857397914,81392.0967707807,0.350922309213179,211591.842771597,0.9122789683769,60220.4137886459,0.25964052416538,796753.554938659,3.43520573207862,"Alabama","Mike Rogers","Republican"
"0103","University of Alabama",23575.6991999755,13760.7808371022,10681.5437246922,245712.283777351,60353.7899519372,0.260215575958774,35227.5989429817,0.151883915755625,27344.7519352119,0.117896993377507,629023.446470018,2.71203678418732,"Alabama","Mike Rogers","Republican"
"0103","Southern Research Institute",1378.47922175137,94234.1336345481,0,206452.780412717,3528.90680768352,0.0152148940140706,241239.382104443,1.04010443765399,0,0,528519.117856554,2.27871202069974,"Alabama","Mike Rogers","Republican"
"0104","University of Alabama at Birmingham",1626646.13521578,2978530.07648388,1962317.26114657,19200366.2297831,4164214.10615241,17.9540236480761,7625036.99579874,32.8753736119772,5023532.18853523,21.6589765585248,49152937.5482448,211.923061739251,"Alabama","Robert B. Aderholt","Republican"
"0104","University of Alabama",51021.3548742698,29780.397030073,23116.4653213388,531758.295744822,130614.668478131,0.563145598872373,76237.816396987,0.328699611397718,59178.1512226274,0.255146805475423,1361301.23710674,5.86925503351514,"Alabama","Robert B. Aderholt","Republican"
"0104","Southern Research Institute",2983.2361264542,203936.822091904,0,446794.832461549,7637.08448372275,0.0329273163981965,522078.264555275,2.25094225921843,0,0,1143794.77110157,4.93147514642988,"Alabama","Robert B. Aderholt","Republican"
"0104","Hudson-Alpha Institute for Biotechnology",14309.4993056404,0,180120.482534088,322022.782954066,36632.3182224395,0.157940367830227,0,0,461108.435287264,1.98807062759898,824378.324362409,3.55431002183497,"Alabama","Robert B. Aderholt","Republican"
"0104","Alabama Fire College",0,0,0,229200.704034041,0,0,0,0,0,0,586753.802327144,2.52979106598189,"Alabama","Robert B. Aderholt","Republican"
"0105","University of Alabama at Birmingham",290205.274477746,531391.013492655,350091.397910533,3425482.30445234,742925.502663029,3.20312589688026,1360360.9945412,5.86520117441318,896233.978650965,3.86411592601235,8769234.69939799,37.8085860032767,"Alabama","Dale W. Strong","Republican"
"0105","Hudson-Alpha Institute for Biotechnology",105495.629076482,0,1327923.72455709,2374086.98509164,270068.810435795,1.16440261849365,0,0,3399484.73486615,14.6568902955508,6077662.68183459,26.203863858362,"Alabama","Dale W. Strong","Republican"
"0105","CFD Research Corporation",0,134587.143515724,0,804294.031631191,0,0,344543.087400253,1.48549872347483,0,0,2058992.72097585,8.87735430053895,"Alabama","Dale W. Strong","Republican"
