"state","org_name","terminated_loss","terminated_loss_noself","terminated_econ_loss","terminated_job_loss","terminated_econ_loss_noself","terminated_job_loss_noself","IDC_loss","IDC_econ_loss","IDC_job_loss","overlap_loss","overlap_econ_loss","overlap_job_loss","overlap_loss_noself","overlap_econ_loss_noself","overlap_job_loss_noself","combined_loss","combined_econ_loss","combined_job_loss"
"Alabama","University of Alabama at Birmingham",17889580.9494643,17889580.9494643,45797327.2306287,197.455336146757,45797327.2306287,197.455336146757,43854500.0996807,112267520.255183,484.041805293919,889746.217405481,2277750.31655803,9.82052843716078,889746.217405481,2277750.31655803,9.82052843716078,60854334.8317396,155787097.169253,671.676613003515
"Alabama","Auburn University at Auburn",982014.288243012,982014.288243012,2513956.57790211,10.8389325570954,2513956.57790211,10.8389325570954,1567181.44576858,4011984.50116756,17.2976851750382,58929.9286026251,150860.61722272,0.650436077525008,58929.9286026251,150860.61722272,0.650436077525008,2490265.80540896,6375080.46184695,27.4861816546085
"Alabama","University of Alabama",224510.10720629,224510.10720629,574745.874448103,2.47801884303443,574745.874448103,2.47801884303443,1314407.15050813,3364882.30530081,14.5077017997481,0,0,0,0,0,0,1538917.25771442,3939628.17974891,16.9857206427825
"Alabama","Emory University",186711.907622885,186711.907622885,477982.483514587,2.06082314540648,477982.483514587,2.06082314540648,487376.222125051,1247683.12864013,5.37939016243529,11816.1052636722,30249.2294750008,0.130419658424347,11816.1052636722,30249.2294750008,0.130419658424347,662272.024484264,1695416.38267972,7.30979364941742
"Alabama","Alabama State University",321964.905170057,321964.905170057,824230.157235347,3.55367119874967,824230.157235347,3.55367119874967,17321.4077134676,44342.8037464771,0.191184153069845,0,0,0,0,0,0,339286.312883525,868572.960981824,3.74485535181952
"Alaska","University of Washington",4434.37768408397,4373.89949130717,11352.006871255,0.0489442172338136,11197.1826977464,0.0482766922695327,37835.4963694177,96858.8707057093,0.417607358998896,462.599710818977,1184.25525969658,0.00510592068417838,462.599710818977,1184.25525969658,0.00510592068417838,41807.2743426827,107026.622317268,0.461445655548531
"Alaska","Fred Hutchinson Cancer Center",764.653047559594,764.653047559594,1957.51180175256,0.00843981896322967,1957.51180175256,0.00843981896322967,22144.3482827899,56689.5316039422,0.244417113306394,34.84644234572,89.2068924050433,0.000384615827856982,34.84644234572,89.2068924050433,0.000384615827856982,22874.1548880038,58557.8365132898,0.252472316441767
"Alaska","Harvard School of Public Health",10803.0672617032,10597.5463976523,27655.8521899601,0.119238303211316,27129.7187779899,0.11696987716987,316.389302523978,809.956614461382,0.00349213076927777,205.299626904608,525.567044875797,0.0022659841477431,201.326420938743,515.395637603183,0.00222213008979806,10914.1569373225,27940.2417595457,0.120464449832851
"Alaska","Harvard Medical School",8132.03461640558,8131.86238473494,20818.0086179983,0.0897569167928164,20817.5677049215,0.0897550157945473,671.069914195383,1717.93898034018,0.00740689990781433,450.708408010384,1153.81352450658,0.00497467103669215,450.708408010384,1153.81352450658,0.00497467103669215,8352.39612259058,21382.1340738319,0.0921891456639386
"Alaska","Seattle Children's Hospital",457.318496385237,457.318496385237,1170.73535074621,0.0050476295495664,1170.73535074621,0.0050476295495664,7842.05768307152,20075.6676686631,0.0865563111996487,35.9802648189455,92.1094779365004,0.000397130335503299,35.9802648189455,92.1094779365004,0.000397130335503299,8263.39591463781,21154.2935414728,0.0912068104137118
"Arizona","University of Arizona",7595942.68739644,6917341.90954189,19445613.2797349,83.8398295034558,17708395.2884272,76.3498080725887,26228440.7157077,67144808.2322117,289.495074968786,147563.125095119,377761.600243505,1.62872045750156,89565.1574724654,229286.803129512,0.988570851699709,33676820.278009,86212659.9117031,371.70618401474
"Arizona","Arizona State University-Tempe Campus",1101873.13806634,1101873.13806634,2820795.23344983,12.1618684910831,2820795.23344983,12.1618684910831,10677376.420877,27334083.637445,117.850996974462,190866.277770267,488617.671091882,2.10667679375333,190866.277770267,488617.671091882,2.10667679375333,11588383.281173,29666261.1998029,127.906188671792
"Arizona","Banner Health",3830125.03893561,3830125.03893561,9805120.09967516,42.2748095208896,9805120.09967516,42.2748095208896,4273848.85227288,10941053.0618186,47.1723884505657,0,0,0,0,0,0,8103973.89120849,20746173.1614937,89.4471979714553
"Arizona","Mayo Clinic Arizona",837124.666201193,837124.666201193,2143039.14547505,9.23972075301447,2143039.14547505,9.23972075301447,4681903.2878765,11985672.4169638,51.6762684450661,20179.9608665189,51660.6998182884,0.222735287516402,20179.9608665189,51660.6998182884,0.222735287516402,5498847.99321118,14077050.8626206,60.6932539105642
"Arizona","University of California, San Diego",111093.483804383,111093.483804383,284399.318539222,1.22618865418229,284399.318539222,1.22618865418229,422735.902049031,1082203.90924552,4.66592593064026,8115.48207054213,20775.6341005879,0.089574218913152,8115.48207054213,20775.6341005879,0.089574218913152,525713.903782872,1345827.59368415,5.8025403659094
"Arkansas","University of Arkansas for Medical Sciences",2260788.9765517,2260788.9765517,5787619.77997235,24.9533428749914,5787619.77997235,24.9533428749914,24148807.4189192,61820946.9924333,266.541228657945,384032.1821808,983122.386382848,4.23873559911155,384032.1821808,983122.386382848,4.23873559911155,26025564.2132901,66625444.3860228,287.255835933825
"Arkansas","University of Arkansas at Fayetteville",271054.661481697,271054.661481697,693899.933393146,2.99175198391757,693899.933393146,2.99175198391757,1637269.68783738,4191410.4008637,18.0712805676147,0,0,0,0,0,0,1908324.34931908,4885310.33425684,21.0630325515323
