state,funding_ics,raw_funding,econ_impact,jobs,pop_2024
AK,FIC,1014.7502573907399,4034.099182755824,0.007915052007647772,736537
AK,NCATS,21780.20957048818,86586.35461151127,0.16988563464980777,736537
AK,NCCIH,4420.003899829102,17571.54924594637,0.034476030418666995,736537
AK,NCI,1004497.0425724481,3993337.936116237,7.835076932065097,736537
AK,NEI,18249.32943291728,72549.48142656684,0.14234476957675482,736537
AK,NHGRI,13489.270152983958,53626.05557750677,0.10521630719327485,736537
AK,NHLBI,296221.335726926,1177616.107675142,2.310526418670023,736537
AK,NIA,273615.3550615902,1087746.9330055853,2.1341997694804036,736537
AK,NIAAA,287633.97929956997,1143477.4146387812,2.2435450385366464,736537
AK,NIAID,663809.0050924962,2638946.228833974,5.177710239721472,736537
AK,NIAMS,13197.234330239397,52465.07880978606,0.1029384277758673,736537
AK,NIBIB,6114.611598135347,24308.39457418223,0.0476939704654557,736537
AK,NICHD,32228.735881776232,128124.05430301222,0.25138413987785463,736537
AK,NIDA,25636.682535792,101917.60909934489,0.1999661237791776,736537
AK,NIDCD,7152.165605311229,28433.14915485691,0.05578689172142759,736537
AK,NIDCR,223594.53560337878,888891.1599447204,1.7440373777063547,736537
AK,NIDDK,263236.3955710422,1046485.7934357998,2.0532438854541306,736537
AK,NIEHS,405379.33904475684,1611569.3969386648,3.161958844549103,736537
AK,NIGMS,8804162.061219731,35000595.18816187,68.67246407751388,736537
AK,NIH_tot,17827339.91045243,70871878.9078109,139.05325130152897,736537
AK,NIMH,525384.6779214313,2088645.8361539105,4.098000487787163,736537
AK,NIMHD,459740.6204773745,1827680.5034928762,3.585976839723523,736537
AK,NINDS,309882.35974426445,1231924.963891309,2.417082406005263,736537
AK,NINR,586508.6318483762,2331641.6775321956,4.574767328417335,736537
AK,NLM,3209.944571871187,12761.006641549258,0.02503756766059526,736537
AK,OD,3577181.6334323133,14220942.935362814,27.902016740772048,736537
AL,FIC,73856.52733612605,181868.54768947084,0.6794800514923601,5163055
AL,NCATS,13495152.794343917,33231238.024297375,124.155405707964,5163055
AL,NCCIH,1649245.1830736697,4061195.903029532,15.173055684277761,5163055
AL,NCI,45214698.66021267,111339266.49605274,415.97522767395674,5163055
AL,NEI,10658053.718996376,26245002.587904025,98.05409421476665,5163055
AL,NHGRI,3903287.8159646704,9611679.724295259,35.910247906874986,5163055
AL,NHLBI,56528855.83179546,139199895.84518924,520.0654736525184,5163055
AL,NIA,32608702.211941905,80297538.04066922,300.00006034986546,5163055
AL,NIAAA,2476793.273003267,6098997.769528522,22.78649811163005,5163055
AL,NIAID,62226210.33741846,153229388.25408673,572.4811351042495,5163055
AL,NIAMS,7676212.279846034,18902345.255661815,70.6211529745835,5163055
AL,NIBIB,943661.0757966781,2323725.140571001,8.681681897329437,5163055
AL,NICHD,14183805.511021782,34927015.95973451,130.49101070140037,5163055
AL,NIDA,10578508.605910184,26049126.140492138,97.32227917437363,5163055
AL,NIDCD,2328153.0176213225,5732977.481958308,21.41900776211617,5163055
AL,NIDCR,7995498.408272624,19688573.725490432,73.55858535610813,5163055
AL,NIDDK,32156719.31986104,79184549.45146671,295.8418177427216,5163055
AL,NIEHS,5807008.834544746,14299511.515781688,53.42448127781168,5163055
AL,NIGMS,17886039.65171756,44043609.58605533,164.55156479580148,5163055
AL,NIH_tot,413259703.5696128,1017634389.5067421,3801.9892728404366,5163055
AL,NIMH,15644881.324249242,38524852.81722124,143.932908183093,5163055
AL,NIMHD,11598610.003047843,28561082.311259456,106.70721202804022,5163055
AL,NINDS,19107463.153345082,47051312.85030196,175.78866101077477,5163055
AL,NINR,2798412.145414705,6890970.521900032,25.745391737815282,5163055
AL,NLM,93960.16968423619,231372.90930776924,0.8644335610949724,5163055
AL,OD,35625913.71519307,87727292.64679794,327.75840617977616,5163055
AR,FIC,36325.9810543055,101964.32247667073,0.3196686332778885,3096080
AR,NCATS,5557329.646849456,15599010.288900621,48.904500892275216,3096080
AR,NCCIH,33447.4235290101,93884.42596023295,0.2943373270552888,3096080
AR,NCI,9683858.308200017,27181868.80843131,85.21795311216015,3096080
AR,NEI,423624.1614375067,1189081.46048828,3.727892620650058,3096080
AR,NHGRI,53182.174564377354,149278.40184649467,0.46800313616652084,3096080
AR,NHLBI,4032964.3279747674,11320230.406434944,35.49008608617796,3096080
AR,NIA,3044859.16953388,8546692.842080932,26.794760691898148,3096080
AR,NIAAA,1051475.144016143,2951412.3927000863,9.252981267342058,3096080
AR,NIAID,7729894.167286133,21697237.03829004,68.023068672118,3096080
AR,NIAMS,1625525.507335198,4562728.994881064,14.304624464549741,3096080
AR,NIBIB,1356103.3342887536,3806481.0275156517,11.933709341741032,3096080
AR,NICHD,2336505.302834076,6558396.311732586,20.561246664939873,3096080
AR,NIDA,12444736.789250035,34931449.014946304,109.51368374540029,3096080
AR,NIDCD,699568.8118531426,1963637.5358941832,6.156205544307657,3096080
AR,NIDCR,1468948.2190587013,4123228.2119433633,12.926744327716566,3096080
AR,NIDDK,4422980.634830339,12414977.1229498,38.92222958650698,3096080
AR,NIEHS,802184.681397107,2251672.636660295,7.059225196294543,3096080
AR,NIGMS,29631060.22056429,83172178.47849894,260.7533299409657,3096080
AR,NIH_tot,111927263.36755022,314171489.51542157,984.9599176344423,3096080
AR,NIMH,850303.7429512356,2386739.25749691,7.482672937970875,3096080
AR,NIMHD,6136250.691842187,17223998.531666156,53.99900608821127,3096080
AR,NINDS,1600077.9273152922,4491299.533649956,14.080685760374578,3096080
AR,NINR,1254219.5256648937,3520500.767212582,11.037131825851064,3096080
AR,NLM,13138.04714036562,36877.51951781536,0.11561481483521746,3096080
AR,OD,15638699.426779002,43896664.183246404,137.62055495565525,3096080
AZ,FIC,99628.69561184736,292638.90849070455,1.0162126952408426,7556424
AZ,NCATS,1306875.2516161632,3838678.6539538987,13.330127566484865,7556424
AZ,NCCIH,1955078.4715911217,5742642.984799509,19.941800410229437,7556424
AZ,NCI,42489380.7573469,124803862.29002626,433.3916837249384,7556424
AZ,NEI,3430810.0301548275,10077302.490991164,34.994262307579234,7556424
AZ,NHGRI,1867611.842604599,5485727.658559568,19.04964079456691,7556424
AZ,NHLBI,37718354.72677709,110789949.51728228,384.7272182131262,7556424
AZ,NIA,76286039.59681463,224074632.5503012,778.1176038875094,7556424
AZ,NIAAA,2064037.4831973428,6062687.787462556,21.053182328612895,7556424
AZ,NIAID,29709925.539563455,87266827.37181266,303.04124050354716,7556424
AZ,NIAMS,3991337.1154510467,11723736.115492575,40.711638577600674,7556424
AZ,NIBIB,2954411.532967653,8677979.38064334,30.134997636270057,7556424
AZ,NICHD,10362195.763871199,30436829.863962136,105.69439679148618,7556424
AZ,NIDA,9101005.924096938,26732342.759674307,92.83026042578875,7556424
AZ,NIDCD,5046953.966938255,14824394.628649661,51.478930462770194,7556424
AZ,NIDCR,3518807.432969887,10335776.85675164,35.89183581629285,7556424
AZ,NIDDK,15361479.157770634,45121201.93811047,156.68708740926047,7556424
AZ,NIEHS,11795921.421138205,34648105.629855454,120.31839849560966,7556424
AZ,NIGMS,26961732.13158565,79194571.53936413,275.0096677421736,7556424
AZ,NIH_tot,337292896.5974194,990728870.791312,3440.3875452936772,7556424
AZ,NIMH,7021545.990293152,20624354.679118443,71.61976910099015,7556424
AZ,NIMHD,8988166.540937131,26400900.15952926,91.67929871755871,7556424
AZ,NINDS,14397237.648405531,42288939.796273515,146.8518240137364,7556424
AZ,NINR,2326040.330220065,6832267.542605601,23.725611368244664,7556424
AZ,NLM,913231.504139936,2682430.6885641436,9.314961342227345,7556424
AZ,OD,17625087.741356134,51770088.999037504,179.77589496183253,7556424
CA,FIC,5884500.263632866,15789815.740107875,51.783602319969205,39364774
CA,NCATS,92701857.33567555,248745888.43886366,815.7763445539449,39364774
CA,NCCIH,19302312.090587463,51793684.69945023,169.86034639716976,39364774
CA,NCI,647282391.699269,1736845821.880899,5696.085046953569,39364774
CA,NEI,124744008.07307324,334724244.01598173,1097.7472710430447,39364774
CA,NHGRI,109534676.27357092,293913208.94330347,963.9051512074245,39364774
CA,NHLBI,395641183.1431753,1061619696.0066571,3481.642411659945,39364774
CA,NIA,711901572.075148,1910237767.7896612,6264.733834261303,39364774
CA,NIAAA,74724079.15580747,200506311.2175006,657.5718965711054,39364774
CA,NIAID,792446973.2019106,2126364369.1196945,6973.533364176816,39364774
CA,NIAMS,72413308.1672424,194305844.48415324,637.2371118717334,39364774
CA,NIBIB,62692070.158383764,168220951.96163204,551.6902173937772,39364774
CA,NICHD,162355267.5972158,435646128.8036886,1428.7263548554986,39364774
CA,NIDA,192272798.4490129,515923514.8832388,1692.0006263513133,39364774
CA,NIDCD,52086016.545226716,139761843.32390606,458.3569455979952,39364774
CA,NIDCR,74401319.22880362,199640253.00569668,654.731609213472,39364774
CA,NIDDK,264986638.58404344,711035773.5372941,2331.8824195395823,39364774
CA,NIEHS,66068157.16015053,177279969.59987077,581.3997830093249,39364774
CA,NIGMS,471801136.7605455,1265978873.5948355,4151.8500034928,39364774
CA,NIH_tot,5547670339.135288,14886003656.617926,48819.49898439054,39364774
CA,NIMH,313673370.94871086,841676354.484681,2760.325664348657,39364774
CA,NIMHD,60740135.96037498,162983348.09680578,534.5131964512998,39364774
CA,NINDS,368494887.47564155,988778335.243045,3242.7550097856447,39364774
