CBSA_FIPS,CBSA_NAME,funding_ics,raw_funding,econ_impact,jobs,pop_2024
10100,"Aberdeen, SD",FIC,93.71852767913104,292.5449874428431,7.778637797367877e-4,41522
10100,"Aberdeen, SD",NCATS,3228.314543163012,10077.273521887319,0.026795010708253,41522
10100,"Aberdeen, SD",NCCIH,1189.4721450163877,3712.9703415615713,0.009872618803636019,41522
10100,"Aberdeen, SD",NCI,26279.285449137104,82031.51950963284,0.21811806922783794,41522
10100,"Aberdeen, SD",NEI,1560.2643469812301,4870.408499778215,0.012950194079944211,41522
10100,"Aberdeen, SD",NHGRI,3180.553042166036,9928.184669816896,0.026398590249978097,41522
10100,"Aberdeen, SD",NHLBI,18488.251827948145,57711.5916434909,0.15345249017196957,41522
10100,"Aberdeen, SD",NIA,24291.012952939174,75825.07168295945,0.20161540750939516,41522
10100,"Aberdeen, SD",NIAAA,3613.104813437321,11278.407039167194,0.029988769951529767,41522
10100,"Aberdeen, SD",NIAID,32289.664605056907,100793.08499981306,0.26800421622197235,41522
10100,"Aberdeen, SD",NIAMS,2822.5915199530264,8810.79783485337,0.023427509615610118,41522
10100,"Aberdeen, SD",NIBIB,1927.8478418521595,6017.830589670456,0.016001137087372927,41522
10100,"Aberdeen, SD",NICHD,10711.78204149717,33437.12519203457,0.08890779094442651,41522
10100,"Aberdeen, SD",NIDA,7740.654317943583,24162.66747163639,0.06424743083893174,41522
10100,"Aberdeen, SD",NIDCD,1357.6089442160194,4237.814030729866,0.01126815423699296,41522
10100,"Aberdeen, SD",NIDCR,2420.5755739745464,7555.893892371934,0.020090777263988734,41522
10100,"Aberdeen, SD",NIDDK,13478.37120680789,42073.11012125101,0.11187048101650549,41522
10100,"Aberdeen, SD",NIEHS,2527.646556030103,7890.118937052301,0.020979466415049858,41522
10100,"Aberdeen, SD",NIGMS,137425.6481908694,428977.9782069152,1.1406328799842158,41522
10100,"Aberdeen, SD",NIH_tot,369242.2842072968,1152600.0468831938,3.0647109589205637,41522
10100,"Aberdeen, SD",NIMH,12281.649588125438,38337.51034626656,0.10193769158144113,41522
10100,"Aberdeen, SD",NIMHD,7017.888229485063,21906.53304967733,0.05824847230472602,41522
10100,"Aberdeen, SD",NINDS,11374.348612193726,35505.345147090826,0.09440709348120792,41522
10100,"Aberdeen, SD",NINR,2466.369455632879,7698.840766020689,0.0204708664817529,41522
10100,"Aberdeen, SD",NLM,71.9534890382086,224.604814740797,5.972139590171314e-4,41522
10100,"Aberdeen, SD",OD,41403.70638615317,129242.8195873323,0.34365076300507136,41522
10140,"Aberdeen, WA",FIC,12044.268288989322,29112.776944674024,0.0939452926541167,77893
10140,"Aberdeen, WA",NCATS,78554.77258673804,189878.49800290394,0.6127272261765566,77893
10140,"Aberdeen, WA",NCCIH,17791.44609763525,43004.55530678899,0.13877327956155494,77893
10140,"Aberdeen, WA",NCI,392026.1863690706,947585.2452296764,3.057804253678751,77893
10140,"Aberdeen, WA",NEI,88092.02041989121,212931.43589590094,0.6871177592751514,77893
10140,"Aberdeen, WA",NHGRI,129668.48102055381,313427.887367565,1.0114141519603197,77893
10140,"Aberdeen, WA",NHLBI,302818.65272140206,731957.4489572133,2.3619854912269362,77893
10140,"Aberdeen, WA",NIA,293324.0012855661,709007.4728535078,2.2879272100274153,77893
10140,"Aberdeen, WA",NIAAA,46807.02078788304,113139.48867181095,0.3650947621454877,77893
10140,"Aberdeen, WA",NIAID,1267241.8330547865,3063110.8453811817,9.884486297827335,77893
10140,"Aberdeen, WA",NIAMS,55880.450884526246,135071.31053002627,0.4358675168993047,77893
10140,"Aberdeen, WA",NIBIB,31520.259284790125,76189.12629464417,0.24585802242136298,77893
10140,"Aberdeen, WA",NICHD,143458.99298455738,346761.593419922,1.1189801452795476,77893
10140,"Aberdeen, WA",NIDA,158332.5437005074,382713.16424009384,1.2349938408639578,77893
10140,"Aberdeen, WA",NIDCD,36967.99283531977,89357.10361839533,0.2883503441154942,77893
10140,"Aberdeen, WA",NIDCR,28495.47929396986,68877.78590712007,0.2222647384929649,77893
10140,"Aberdeen, WA",NIDDK,183349.2274531411,443182.1870575015,1.4301239741345004,77893
10140,"Aberdeen, WA",NIEHS,47912.303247707874,115811.11976982937,0.3737159653321214,77893
10140,"Aberdeen, WA",NIGMS,242670.9899654437,586571.6565169627,1.892833721730461,77893
10140,"Aberdeen, WA",NIH_tot,4212723.781892295,10182776.14289556,32.8592454987599,77893
10140,"Aberdeen, WA",NIMH,209017.49905071952,505226.1940196147,1.6303364925956123,77893
10140,"Aberdeen, WA",NIMHD,13660.842659206584,33020.27617379999,0.10655457274181136,77893
10140,"Aberdeen, WA",NINDS,121092.09309211449,292697.4899070647,0.944518326118493,77893
10140,"Aberdeen, WA",NINR,30021.68700118422,72566.85555296921,0.2341691586092369,77893
10140,"Aberdeen, WA",NLM,16412.84977339243,39672.28419480129,0.12802022823246095,77893
10140,"Aberdeen, WA",OD,265561.8880331982,641902.3410815896,2.0713827266589457,77893
10180,"Abilene, TX",FIC,354.91200200629163,1156.1236849593786,0.004187961623674241,184278
10180,"Abilene, TX",NCATS,9468.78445631604,30844.507697229477,0.11173165658452928,184278
10180,"Abilene, TX",NCCIH,1529.1113415737284,4981.070882190282,0.018043513830569995,184278
10180,"Abilene, TX",NCI,119381.69235147326,388885.1357459177,1.4087039697473847,184278
10180,"Abilene, TX",NEI,37851.990453009406,123302.62836477612,0.446653487345511,184278
10180,"Abilene, TX",NHGRI,5055.937323855025,16469.68503949131,0.0596600604214893,184278
10180,"Abilene, TX",NHLBI,73470.58825415687,239329.9937684928,0.8669529413990511,184278
10180,"Abilene, TX",NIA,137572.14954987017,448140.43928150693,1.6233513646884679,184278
10180,"Abilene, TX",NIAAA,30393.4753740237,99006.56092074198,0.3586430094134797,184278
10180,"Abilene, TX",NIAID,92080.6298380614,299952.09088441276,1.0865514320891245,184278
10180,"Abilene, TX",NIAMS,9891.078325710532,32220.127404819585,0.11671472424338428,184278
10180,"Abilene, TX",NIBIB,11989.838597632923,39056.82620819859,0.14148009545206847,184278
10180,"Abilene, TX",NICHD,36091.40387592798,117567.52831270937,0.4258785657359502,184278
10180,"Abilene, TX",NIDA,30142.35120682126,98188.52547554082,0.35567974424049087,184278
10180,"Abilene, TX",NIDCD,11963.816382237332,38972.05900003463,0.14117303331040054,184278
10180,"Abilene, TX",NIDCR,6296.188305461895,20509.79505838101,0.07429502200445036,184278
10180,"Abilene, TX",NIDDK,47902.22887787367,156041.2188232313,0.5652463007589092,184278
10180,"Abilene, TX",NIEHS,19737.193181153343,64293.786579090134,0.23289887953760946,184278
10180,"Abilene, TX",NIGMS,135711.89520757916,442080.67209129216,1.601400363449434,184278
10180,"Abilene, TX",NIH_tot,1045513.8073567329,3405754.8598081726,12.337062926809446,184278
10180,"Abilene, TX",NIMH,49021.629671005925,159687.66008919777,0.5784552301178699,184278
10180,"Abilene, TX",NIMHD,13193.27911105464,42977.02635116772,0.15568069351044478,184278
10180,"Abilene, TX",NINDS,59616.22698173933,194199.4963029776,0.7034714783845242,184278
10180,"Abilene, TX",NINR,2691.87624426463,8768.77047093681,0.03176413968232263,184278
10180,"Abilene, TX",NLM,3034.7776249221347,9885.769630002684,0.03581037597408119,184278
10180,"Abilene, TX",OD,101070.75281900205,329237.3617408738,1.1926348832642244,184278
10220,"Ada, OK",FIC,2.725134311020767,7.6742288068975615,2.8613910265718052e-5,38310
10220,"Ada, OK",NCATS,0,0,0,38310
10220,"Ada, OK",NCCIH,989.6634464789768,2786.983268820107,0.010391466188029256,38310
10220,"Ada, OK",NCI,11577.86718489186,32604.33862412075,0.12156760544136452,38310
10220,"Ada, OK",NEI,5016.063127601178,14125.695014509063,0.05266866283981237,38310
10220,"Ada, OK",NHGRI,962.2339722898337,2709.7393472529798,0.010103456709043253,38310
10220,"Ada, OK",NHLBI,2432.993444018847,6851.533261892156,0.025546431162197895,38310
10220,"Ada, OK",NIA,5091.693081776562,14338.67591994549,0.0534627773586539,38310
10220,"Ada, OK",NIAAA,1972.5381455009729,5554.848800548716,0.020711650527760216,38310
10220,"Ada, OK",NIAID,9212.413135496507,25943.0025080074,0.09673033792271331,38310
10220,"Ada, OK",NIAMS,187.29330947493884,527.4351818547128,0.0019665797494868575,38310
10220,"Ada, OK",NIBIB,438.6163382129892,1235.1839409446247,0.004605471551236386,38310
10220,"Ada, OK",NICHD,2699.5861653520806,7602.2828794397665,0.028345654736196844,38310
10220,"Ada, OK",NIDA,1273.7249274044912,3586.9265197023024,0.013374111737747156,38310
10220,"Ada, OK",NIDCD,477.1633299748108,1343.7358142968808,0.005010214964735513,38310
10220,"Ada, OK",NIDCR,608.2248715680837,1712.817167059546,0.006386361151464878,38310
10220,"Ada, OK",NIDDK,4089.557667942189,11516.570444205014,0.04294035551339298,38310
10220,"Ada, OK",NIEHS,460.75010707821485,1297.5146693581912,0.004837876124321256,38310
10220,"Ada, OK",NIGMS,25870.812328340067,72854.5864418772,0.2716435294475707,38310
10220,"Ada, OK",NIH_tot,81242.48901598687,228786.31964272153,0.8530461346678618,38310
10220,"Ada, OK",NIMH,2083.2999998353293,5866.7643673523635,0.02187464999827096,38310
10220,"Ada, OK",NIMHD,1118.8052034461527,3150.6583315437633,0.011747454636184602,38310
10220,"Ada, OK",NINDS,2459.6841784399107,6926.696824342277,0.025826683873619062,38310
10220,"Ada, OK",NINR,3.743835744081477,10.542985716091515,3.931027531285551e-5,38310
10220,"Ada, OK",NLM,25.962886038186173,73.11387447535186,2.726103034009548e-4,38310
10220,"Ada, OK",OD,2187.0731947695576,6158.999226649903,0.022964268545080355,38310
10300,"Adrian, MI",FIC,8086.3401421631315,20601.106472848078,0.07843749937898237,97746
10300,"Adrian, MI",NCATS,223676.43717239497,569847.6710903194,2.1696614405722308,97746
10300,"Adrian, MI",NCCIH,37050.697071003844,94391.94268778415,0.35939176158873726,97746
10300,"Adrian, MI",NCI,1270604.5974845376,3237046.69077488,12.324864595600014,97746
10300,"Adrian, MI",NEI,166817.0957397433,424990.3776501829,1.6181258286755098,97746
10300,"Adrian, MI",NHGRI,73380.45532445995,186947.19076717936,0.7117904166472614,97746
10300,"Adrian, MI",NHLBI,1101115.7588785305,2805249.6665715813,10.680822861121744,97746
10300,"Adrian, MI",NIA,1381649.2273751313,3519948.745770822,13.401997505538771,97746
10300,"Adrian, MI",NIAAA,141306.12165460922,359997.5274714459,1.3706693800497092,97746
10300,"Adrian, MI",NIAID,734009.3837830328,1869993.7427241125,7.119891022695417,97746
10300,"Adrian, MI",NIAMS,198583.5956227542,505920.07326703856,1.9262608775407153,97746
10300,"Adrian, MI",NIBIB,96163.21650602373,244989.52890722602,0.9327832001084301,97746
10300,"Adrian, MI",NICHD,531617.9834229996,1354372.7430254144,5.156694439203096,97746
10300,"Adrian, MI",NIDA,361391.921170444,920697.5362859082,3.505501635353306,97746
10300,"Adrian, MI",NIDCD,114923.17876196992,292783.2122135004,1.114754833991108,97746
10300,"Adrian, MI",NIDCR,292637.87579517317,745536.7856479705,2.8385873952131795,97746
10300,"Adrian, MI",NIDDK,993288.4483300311,2530544.19212486,9.634897948801301,97746
10300,"Adrian, MI",NIEHS,162438.74589622332,413835.9060702125,1.575655835193366,97746
10300,"Adrian, MI",NIGMS,849441.8087828081,2164074.3324633525,8.239585545193238,97746
10300,"Adrian, MI",NIH_tot,10366146.999990497,26409240.064797997,100.55162589990778,97746
10300,"Adrian, MI",NIMH,332303.0090671247,846589.377973946,3.223339187951109,97746
10300,"Adrian, MI",NIMHD,83549.05192476827,212853.14297293886,0.8104258036702521,97746
10300,"Adrian, MI",NINDS,774946.8498284273,1974287.7845159501,7.516984443335744,97746
10300,"Adrian, MI",NINR,54385.2136062344,138554.0994261107,0.5275365719804737,97746
10300,"Adrian, MI",NLM,19186.03548386263,48879.1657098366,0.18610454419346747,97746
10300,"Adrian, MI",OD,363593.9511660434,926307.5222125717,3.5268613263106205,97746
10380,"Aguadilla, PR",NA,NA,NA,NA,NA
10420,"Akron, OH",FIC,35447.25855574554,92445.71857164365,0.35092785970188084,702209
10420,"Akron, OH",NCATS,789594.6738415012,2059246.6096870753,7.816987271030862,702209
10420,"Akron, OH",NCCIH,112668.18858185432,293836.30999940133,1.1154150669603577,702209
10420,"Akron, OH",NCI,5183909.648750672,13519529.351912484,51.320705522631656,702209
10420,"Akron, OH",NEI,1248894.5562393079,3257091.221601482,12.364056106769148,702209
10420,"Akron, OH",NHGRI,283918.75019535044,740454.2395428165,2.8107956269339693,702209
10420,"Akron, OH",NHLBI,5047968.485931563,13164997.605528941,49.974888010722474,702209
10420,"Akron, OH",NIA,4086412.7090279185,10657279.988868166,40.45548581937639,702209
10420,"Akron, OH",NIAAA,841197.1470209786,2193824.7945035007,8.327851755507687,702209
10420,"Akron, OH",NIAID,2602440.4037554944,6787110.850524699,25.764159997179394,702209
10420,"Akron, OH",NIAMS,763946.0348984136,1992355.488791238,7.563065745494295,702209
10420,"Akron, OH",NIBIB,553336.5924525242,1443090.41052674,5.478032265279991,702209
10420,"Akron, OH",NICHD,1521349.6488218089,3967648.4787355596,15.061361523335908,702209
10420,"Akron, OH",NIDA,606689.4112376816,1582233.4605501983,6.006225171253048,702209
10420,"Akron, OH",NIDCD,1957234.1154854414,5104426.169782298,19.37661774330587,702209
10420,"Akron, OH",NIDCR,412196.8926559498,1075000.9870199533,4.080749237293904,702209
10420,"Akron, OH",NIDDK,3459186.550350718,9021487.114938088,34.24594684847211,702209
10420,"Akron, OH",NIEHS,2109272.9147749376,5500940.219775289,20.881801856271885,702209
10420,"Akron, OH",NIGMS,2471188.4737393092,6444808.526490826,24.46476589001916,702209
10420,"Akron, OH",NIH_tot,40080972.08239716,104530347.79488218,396.80162361573196,702209
10420,"Akron, OH",NIMH,1242897.3853345665,3241450.7236821894,12.30468411481221,702209
10420,"Akron, OH",NIMHD,173273.81643988565,451894.53636436234,1.7154107827548677,702209
10420,"Akron, OH",NINDS,3087226.239989384,8051422.3039342025,30.563539775894903,702209
10420,"Akron, OH",NINR,442915.0130429375,1155113.210871607,4.384858629125081,702209
10420,"Akron, OH",NLM,88683.72475901112,231285.32346340752,0.8779688751142101,702209
10420,"Akron, OH",OD,959123.4465142125,2501374.149216006,9.495322120490705,702209
10460,"Alamogordo, NM",FIC,331.95165755993946,772.7235577485508,0.002589222928967528,69711
10460,"Alamogordo, NM",NCATS,5421.143457254961,12619.443717038615,0.04228491896658869,69711
10460,"Alamogordo, NM",NCCIH,229.28096439127233,533.72471109427,0.0017883915222519243,69711
10460,"Alamogordo, NM",NCI,96595.27265766994,224856.3640211625,0.7534431267298255,69711
10460,"Alamogordo, NM",NEI,2318.7988329907075,5397.745253337767,0.018086630897327517,69711
10460,"Alamogordo, NM",NHGRI,7445.40309140553,17331.554865407157,0.05807414411296313,69711
10460,"Alamogordo, NM",NHLBI,8123.424899557821,18909.867284985725,0.063362714216551,69711
10460,"Alamogordo, NM",NIA,16640.213546723564,38735.41439147079,0.1297936656644438,69711
10460,"Alamogordo, NM",NIAAA,11059.329241211653,25744.122805106224,0.08626276808145089,69711
10460,"Alamogordo, NM",NIAID,51967.5296612127,120971.0314519658,0.405346731357459,69711
10460,"Alamogordo, NM",NIAMS,1371.1849241609102,3191.871071580585,0.0106952424084551,69711
10460,"Alamogordo, NM",NIBIB,8942.075848408922,20815.538967424076,0.06974819161758959,69711
10460,"Alamogordo, NM",NICHD,2934.5065222533012,6831.001648794151,0.02288915087357575,69711
10460,"Alamogordo, NM",NIDA,9452.82952406729,22004.481358279947,0.07373207028772487,69711
10460,"Alamogordo, NM",NIDCD,1796.6371630754472,4182.247110437282,0.014013769871988489,69711
10460,"Alamogordo, NM",NIDCR,1521.1131827386762,3540.877002826272,0.011864682825361674,69711
10460,"Alamogordo, NM",NIDDK,7833.26313615999,18234.423059813027,0.06109945246204792,69711
10460,"Alamogordo, NM",NIEHS,8826.303934180178,20546.042842272054,0.06884517068660538,69711
10460,"Alamogordo, NM",NIGMS,487466.0954802303,1134733.106471273,3.802235544745796,69711
10460,"Alamogordo, NM",NIH_tot,874247.4001223249,2035090.188555427,6.819129720954134,69711
10460,"Alamogordo, NM",NIMH,5166.680944654651,12027.10090575248,0.04030011136830628,69711
10460,"Alamogordo, NM",NIMHD,9195.206370211516,21404.781144492372,0.07172260968764982,69711
10460,"Alamogordo, NM",NINDS,20377.30100535459,47434.67963351715,0.1589429478417658,69711
10460,"Alamogordo, NM",NINR,705.9231484408076,1643.26170494191,0.005506200557838299,69711
10460,"Alamogordo, NM",NLM,199.95375059901423,465.4562495146978,0.001559639254672311,69711
10460,"Alamogordo, NM",OD,108325.97717781125,252163.3273251907,0.8449426219869277,69711
10480,"Alamosa, CO",FIC,17.905104040430103,50.14974006561191,1.7188899878812898e-4,27924
10480,"Alamosa, CO",NCATS,4963.998459412344,13903.478687613762,0.0476543852103585,27924
10480,"Alamosa, CO",NCCIH,308.02304556335247,862.7302937944389,0.0029570212374081836,27924
10480,"Alamosa, CO",NCI,15686.60595560017,43936.0312796111,0.15059141717376162,27924
10480,"Alamosa, CO",NEI,1731.3719063720773,4849.335187631611,0.01662117030117194,27924
10480,"Alamosa, CO",NHGRI,1100.010952822663,3080.9797714002834,0.010560105147097563,27924
10480,"Alamosa, CO",NHLBI,33348.284015468904,93403.9685686067,0.3201435265485015,27924
10480,"Alamosa, CO",NIA,7897.9330507928635,22121.026979709914,0.07582015728761149,27924
10480,"Alamosa, CO",NIAAA,2353.7878431534295,6592.636839037671,0.02259636329427292,27924
10480,"Alamosa, CO",NIAID,23942.027058168344,67058.33324954796,0.22984345975841608,27924
10480,"Alamosa, CO",NIAMS,2890.558231937015,8096.057059977513,0.027749359026595342,27924
10480,"Alamosa, CO",NIBIB,409.5774382302262,1147.1702156884903,0.0039319434070101715,27924
10480,"Alamosa, CO",NICHD,4965.497424713145,13907.677083782408,0.047668775277246195,27924
10480,"Alamosa, CO",NIDA,5508.037611323327,15427.257716891962,0.052877161068703944,27924
10480,"Alamosa, CO",NIDCD,2279.1576994641737,6383.608044866782,0.021879913914856067,27924
10480,"Alamosa, CO",NIDCR,1971.438109359449,5521.727688181745,0.01892580584985071,27924
10480,"Alamosa, CO",NIDDK,12098.964477279449,33887.53967743274,0.1161500589818827,27924
10480,"Alamosa, CO",NIEHS,2909.0429736650617,8147.830285687251,0.02792681254718459,27924
10480,"Alamosa, CO",NIGMS,10166.293455595343,28474.393283480247,0.0975964171737153,27924
10480,"Alamosa, CO",NIH_tot,165334.30787703028,463078.7146077789,1.5872093556194904,27924
10480,"Alamosa, CO",NIMH,12968.128239940183,36321.94813847612,0.12449403110342575,27924
10480,"Alamosa, CO",NIMHD,1025.6682515853909,2872.7560641039654,0.009846415215219752,27924
10480,"Alamosa, CO",NINDS,5469.25386672754,15318.629768913666,0.052504837120584374,27924
10480,"Alamosa, CO",NINR,988.0186298158926,2767.304638574936,0.009484978846232568,27924
10480,"Alamosa, CO",NLM,399.30806005865463,1118.4070962574674,0.0038333573765630836,27924
10480,"Alamosa, CO",OD,9935.416015940833,27827.737248444457,0.095379993753032,27924
10500,"Albany, GA",FIC,1257.7291908212899,3694.0810953338464,0.014841204451691223,145451
10500,"Albany, GA",NCATS,5639.751105701896,16564.5339982586,0.06654906304728239,145451
10500,"Albany, GA",NCCIH,1042.2151977039312,3061.0941426855757,0.012298139332906388,145451
10500,"Albany, GA",NCI,72913.3856241587,214154.17674699004,0.8603779503650728,145451
10500,"Albany, GA",NEI,26362.931081153194,77430.66316277836,0.31108258675760775,145451
10500,"Albany, GA",NHGRI,2299.8201940439913,6754.8104659455885,0.027137878289719097,145451
10500,"Albany, GA",NHLBI,127135.40806860014,373409.8810150793,1.5001978152094815,145451
10500,"Albany, GA",NIA,77562.47367797604,227809.03060224204,0.9152371894001172,145451
10500,"Albany, GA",NIAAA,10577.039897459374,31065.863315363174,0.12480907079002061,145451
10500,"Albany, GA",NIAID,139844.74553961726,410738.5234832125,1.6501679973674834,145451
10500,"Albany, GA",NIAMS,7196.7844037452505,21137.70230275773,0.08492205596419397,145451
10500,"Albany, GA",NIBIB,15897.405968797715,46692.330338484986,0.18758939043181305,145451
10500,"Albany, GA",NICHD,30267.141717689465,88897.73477873742,0.3571522722687357,145451
10500,"Albany, GA",NIDA,23101.36217664917,67851.09697382044,0.27259607368446026,145451
10500,"Albany, GA",NIDCD,7420.255863836504,21794.061161321464,0.08755901919327075,145451
10500,"Albany, GA",NIDCR,7770.480841113755,22822.708247765248,0.09169167392514233,145451
10500,"Albany, GA",NIDDK,58085.24678825266,170602.39489088356,0.6854059121013814,145451
10500,"Albany, GA",NIEHS,9627.75385646057,28277.711745287816,0.11360749550623472,145451
10500,"Albany, GA",NIGMS,127778.08037032171,375297.476228429,1.5077813483697962,145451
10500,"Albany, GA",NIH_tot,905789.1662236205,2660396.737011349,10.688312161438724,145451
10500,"Albany, GA",NIMH,36949.12262535891,108523.40581391871,0.43599964697923516,145451
10500,"Albany, GA",NIMHD,10584.646999608074,31088.206163444353,0.12489883459537529,145451
10500,"Albany, GA",NINDS,54367.886623985134,159684.12249362713,0.6415410621630246,145451
10500,"Albany, GA",NINR,1894.8824233238875,5565.466229904625,0.022359612595221873,145451
10500,"Albany, GA",NLM,1160.695840884891,3409.0840814831145,0.013696210922441714,145451
10500,"Albany, GA",OD,49051.92014635706,144070.57753359395,0.5788126577270133,145451
10540,"Albany, OR",FIC,235.23036991061548,570.8346396452903,0.0020700272552134163,132474
10540,"Albany, OR",NCATS,218962.2898324787,531356.8135777947,1.9268681505258127,132474
10540,"Albany, OR",NCCIH,88749.74983299707,215369.43330820434,0.7809977985303742,132474
10540,"Albany, OR",NCI,311576.19200622913,756103.4034572641,2.7418704896548167,132474
10540,"Albany, OR",NEI,100068.22659629252,242836.0338452202,0.8806003940473742,132474
10540,"Albany, OR",NHGRI,111345.73773110176,270203.22289985116,0.9798424920336956,132474
10540,"Albany, OR",NHLBI,157531.39118265017,382282.1643002112,1.3862762424073216,132474
10540,"Albany, OR",NIA,180256.7697643896,437429.9468694406,1.5862595739266288,132474
10540,"Albany, OR",NIAAA,55685.67219532558,135132.68135021513,0.4900339153188651,132474
10540,"Albany, OR",NIAID,283290.22880131943,687461.7241569677,2.492954013451611,132474
10540,"Albany, OR",NIAMS,72421.45868062202,175745.49274503998,0.6373088363894738,132474
