FIPS,name,state,funding_ics,raw_funding,econ_impact,jobs,pop_2024
01001,Autauga County,AL,FIC,144.67413304906285,356.2538805286649,0.0013310020240513783,61464
01001,Autauga County,AL,NCATS,29894.41487730992,73613.72127637919,0.27502861687125124,61464
01001,Autauga County,AL,NCCIH,4179.525040548533,10291.902104968485,0.038451630373046504,61464
01001,Autauga County,AL,NCI,125854.351543464,309910.97146283026,1.1578600341998688,61464
01001,Autauga County,AL,NEI,25000.72898525826,61563.22854219739,0.230006706664376,61464
01001,Autauga County,AL,NHGRI,11831.296832793983,29134.063702596784,0.10884793086170465,61464
01001,Autauga County,AL,NHLBI,130470.31796493067,321277.5918487968,1.200326925277362,61464
01001,Autauga County,AL,NIA,81474.74215964027,200628.0766832097,0.7495676278686905,61464
01001,Autauga County,AL,NIAAA,8091.354822194693,19924.616055336075,0.07444046436419118,61464
01001,Autauga County,AL,NIAID,138043.9376894221,339927.3073137134,1.2700042267426834,61464
01001,Autauga County,AL,NIAMS,17613.72721464659,43373.05182719288,0.16204629037474863,61464
01001,Autauga County,AL,NIBIB,2770.989986439387,6823.44462531064,0.02549310787524236,61464
01001,Autauga County,AL,NICHD,36615.60819084014,90164.37307061828,0.3368635953557293,61464
01001,Autauga County,AL,NIDA,26016.87477995364,64065.44421070494,0.23935524797557348,61464
01001,Autauga County,AL,NIDCD,6785.82589050655,16709.806757680803,0.062429598192660266,61464
01001,Autauga County,AL,NIDCR,17487.233661319045,43061.566848606446,0.1608825496841352,61464
01001,Autauga County,AL,NIDDK,76377.60905802433,188076.60387496432,0.7026740033338239,61464
01001,Autauga County,AL,NIEHS,35455.383502893346,87307.36927418958,0.3261895282266188,61464
01001,Autauga County,AL,NIGMS,75774.25811594381,186590.87792031895,0.697123174666683,61464
01001,Autauga County,AL,NIMH,36886.36772149014,90831.1068636694,0.33935458303770927,61464
01001,Autauga County,AL,NIMHD,70639.71585344707,173947.28664935855,0.649885385851713,61464
01001,Autauga County,AL,NINDS,44730.219658113405,110146.25762228265,0.41151802085464334,61464
01001,Autauga County,AL,NINR,6194.118651816993,15252.752925890649,0.05698589159671634,61464
01001,Autauga County,AL,NLM,744.7430406799901,1833.8979653604533,0.0068516359742559095,61464
01001,Autauga County,AL,OD,362889.0603942648,893598.8296056725,3.3385793556272363,61464
01003,Baldwin County,AL,FIC,764.7512315329548,1883.1672817441188,0.0070357113301031836,261608
01003,Baldwin County,AL,NCATS,36403.04023521545,89640.93354849127,0.3349079701639821,261608
01003,Baldwin County,AL,NCCIH,4836.516957697733,11909.716672282982,0.04449595601081915,261608
01003,Baldwin County,AL,NCI,264428.2316667896,651143.2394115655,2.4327397313344648,261608
01003,Baldwin County,AL,NEI,31004.480707396757,76347.21102521078,0.2852412225080502,261608
01003,Baldwin County,AL,NHGRI,11434.843290007622,28157.813767032418,0.10520055826807012,261608
01003,Baldwin County,AL,NHLBI,731823.7134372329,1802084.6731910016,6.732778163622543,261608
01003,Baldwin County,AL,NIA,143026.4651252832,352196.5685593577,1.3158434791526055,261608
01003,Baldwin County,AL,NIAAA,8321.887540673237,20492.293039575903,0.07656136537419378,261608
01003,Baldwin County,AL,NIAID,375546.06914403354,924766.173677202,3.4550238361251084,261608
01003,Baldwin County,AL,NIAMS,20864.41058192021,51377.72093807314,0.19195257735366592,261608
01003,Baldwin County,AL,NIBIB,14179.950429709705,34917.522986469456,0.13045554395332928,261608
01003,Baldwin County,AL,NICHD,43985.05259611923,108311.31552252568,0.40466248388429693,261608
01003,Baldwin County,AL,NIDA,73830.53643307861,181804.54619954337,0.6792409351843233,261608
01003,Baldwin County,AL,NIDCD,8711.244407650209,21451.067713718858,0.08014344855038193,261608
01003,Baldwin County,AL,NIDCR,21494.005267393586,52928.070991209795,0.197744848460021,261608
01003,Baldwin County,AL,NIDDK,98851.82198988968,243418.39442220272,0.909436762306985,261608
01003,Baldwin County,AL,NIEHS,120738.38734104631,297313.12787223514,1.110793163537626,261608
01003,Baldwin County,AL,NIGMS,130651.02654275885,321722.57901228836,1.2019894441933814,261608
01003,Baldwin County,AL,NIMH,44820.40024930725,110368.32348080265,0.41234768229362667,261608
01003,Baldwin County,AL,NIMHD,64894.74717750035,159800.54637736006,0.5970316740330033,261608
01003,Baldwin County,AL,NINDS,83888.4670380859,206571.77122177123,0.7717738967503903,261608
